Date,index_ticker,Industry,ret_next_1d,baseline_ret_1d,pred_ret_1d,abs_err_baseline,abs_err_model,improved,true_up,baseline_up,pred_up_1d,prob_up_1d,MKT_1d,SentimentScore
2025-06-30,AAPL,Information Technology,0.01291615425542747,-0.0003236298209773336,0.00033795173974927374,0.013239784076404804,0.012578202515678196,True,1,0,0,0.35977270623603097,-0.0003236298209773336,0.0
2025-07-01,AAPL,Information Technology,0.022230762139012317,0.004533275199175568,0.0040126225197301925,0.01769748693983675,0.018218139619282123,False,1,1,0,0.2556083535869476,0.004533275199175568,0.0
2025-07-02,AAPL,Information Technology,0.00522506774348952,0.007881351217300603,0.0067599262538849784,0.002656283473811083,0.0015348585103954586,True,1,1,0,0.2556083535869476,0.007881351217300603,0.0
2025-07-03,AAPL,Information Technology,-0.016857955249283796,-0.007451911689688506,-0.005918281108176846,0.00940604355959529,0.010939674141106949,False,0,0,0,0.30203473932576214,-0.007451911689688506,0.0
2025-07-07,AAPL,Information Technology,0.00028578971805215403,-0.0005477706277796646,0.00046835353162922016,0.0008335603458318186,0.00018256381357706613,True,1,0,1,0.5277427760356277,-0.0005477706277796646,0.0
2025-07-08,AAPL,Information Technology,0.00538068961510163,0.005996615280215112,0.005583556055863107,0.0006159256651134815,0.00020286644076147626,True,1,1,0,0.28634539707140605,0.005996615280215112,0.0
2025-07-09,AAPL,Information Technology,0.006014977043711456,0.0028203284907413195,0.0023596575204133004,0.0031946485529701363,0.0036553195232981554,False,1,1,0,0.21944191225512907,0.0028203284907413195,0.0
2025-07-10,AAPL,Information Technology,-0.005884853456365136,-0.003515471310904239,-0.002542434168499383,0.0023693821454608965,0.0033424192878657526,False,0,0,0,0.29807288370854407,-0.003515471310904239,0.0
2025-07-11,AAPL,Information Technology,-0.01202881464197092,0.0019082079637526839,0.0024345163777345223,0.013937022605723604,0.014463331019705442,False,0,1,0,0.49820445548573683,0.0019082079637526839,0.0
2025-07-14,AAPL,Information Technology,0.0023488288655426626,-0.004273266498076467,-0.0023980342648414984,0.006622095363619129,0.0047468631303841605,True,1,0,1,0.5190052742352403,-0.004273266498076467,0.0
2025-07-15,AAPL,Information Technology,0.00502133715468478,0.00334324975208955,0.0029876498866381832,0.0016780874025952297,0.0020336872680465964,False,1,1,0,0.310042706716462,0.00334324975208955,0.0
2025-07-16,AAPL,Information Technology,-0.0006662490332222104,0.006119653171936301,0.005510077540356157,0.006785902205158512,0.006176326573578367,True,0,1,0,0.40298383244602215,0.006119653171936301,0.0
2025-07-17,AAPL,Information Technology,0.005523280640275852,-0.0007323592062571382,0.00032428544444170187,0.00625563984653299,0.00519899519583415,True,1,0,0,0.3535299416796686,-0.0007323592062571382,0.0
2025-07-18,AAPL,Information Technology,0.006155827878369324,0.0018961671248525214,0.0023610378622275718,0.004259660753516803,0.0037947900161417526,True,1,1,0,0.28439707945737175,0.0018961671248525214,0.0
2025-07-21,AAPL,Information Technology,0.0090362347501034,0.00014308956258002326,7.900738350701168e-05,0.008893145187523377,0.008957227366596389,False,1,1,0,0.21035247994248193,0.00014308956258002326,0.0
2025-07-22,AAPL,Information Technology,-0.001166074880693091,0.008507549960310445,0.007432742684017207,0.009673624841003536,0.008598817564710298,True,0,1,0,0.19800634315628746,0.008507549960310445,0.0
2025-07-23,AAPL,Information Technology,-0.0018212004700020046,0.000331011779483692,0.0010150840565030326,0.0021522122494856966,0.002836284526505037,False,0,1,0,0.3112196505253592,0.000331011779483692,0.0
2025-07-24,AAPL,Information Technology,0.0005614633154649162,0.0042243578976959295,0.004184986043525466,0.0036628945822310133,0.00362352272806055,True,1,1,0,0.3566159965079652,0.0042243578976959295,0.0
2025-07-25,AAPL,Information Technology,0.0007948587409902785,-0.000251119494356411,0.0002985627081297871,0.0010459782353466895,0.0004962960328604915,True,1,0,0,0.3032125875820463,-0.000251119494356411,0.0
2025-07-28,AAPL,Information Technology,-0.012987668901023652,-0.002637609180098366,-0.002407344141126255,0.010350059720925286,0.010580324759897397,False,0,0,0,0.3139362765285769,-0.002637609180098366,0.0
2025-07-29,AAPL,Information Technology,-0.010507862911703691,-0.0012593305691198653,0.00010189092533409463,0.009248532342583826,0.010609753837037786,False,0,0,1,0.7113140140385716,-0.0012593305691198653,0.0
2025-07-30,AAPL,Information Technology,-0.007079609380583052,-0.0037512107798256533,-0.0022238870223192492,0.0033283986007573985,0.004855722358263802,False,0,0,1,0.5190052742352403,-0.0037512107798256533,0.0
2025-07-31,AAPL,Information Technology,-0.025003594915492977,-0.016390431365516545,-0.014369065643160176,0.008613163549976433,0.0106345292723328,False,0,0,1,0.6932859529450209,-0.016390431365516545,0.0
2025-08-01,AAPL,Information Technology,0.004792936108565904,0.015199795788522152,0.013607465361867837,0.010406859679956248,0.008814529253301933,True,1,1,1,0.6547498918981312,0.015199795788522152,0.0
2025-08-04,AAPL,Information Technology,-0.0021146353111312077,-0.005069964619629497,-0.0037950608618401004,0.002955329308498289,0.0016804255507088927,True,0,0,0,0.31788430602509576,-0.005069964619629497,0.0
2025-08-05,AAPL,Information Technology,0.05090679602505532,0.0076596842911853535,0.006339540753998032,0.04324711173386997,0.04456725527105729,False,1,1,0,0.4602771145189194,0.0076596842911853535,0.0
2025-08-06,AAPL,Information Technology,0.031793629657992595,-0.0008376210633260772,-0.00046261458944976344,0.03263125072131867,0.03225624424744236,True,1,0,1,0.5852238811873016,-0.0008376210633260772,0.0
2025-08-07,AAPL,Information Technology,0.04235791290787305,0.007797567971946862,0.006879400528908123,0.03456034493592619,0.03547851237896493,False,1,1,0,0.3561430589049153,0.007797567971946862,0.0
2025-08-08,AAPL,Information Technology,-0.008337431911761617,-0.001977485842922677,-0.0022809234240240154,0.00635994606883894,0.0060565084877376016,True,0,0,0,0.2859276945571125,-0.001977485842922677,0.0
2025-08-11,AAPL,Information Technology,0.010872426196794072,0.010646088630271056,0.010301303415264652,0.00022633756652301606,0.0005711227815294196,False,1,1,0,0.4525492569653516,0.010646088630271056,0.0
2025-08-12,AAPL,Information Technology,0.016024457949132653,0.0034230982805847354,0.0031851393216124698,0.012601359668547918,0.012839318627520184,False,1,1,0,0.18109481128047622,0.0034230982805847354,0.0
2025-08-13,AAPL,Information Technology,-0.0023571835446725142,9.300854748550691e-05,6.85248880792676e-05,0.002450192092158021,0.002425708432751782,True,0,1,0,0.33879557554495465,9.300854748550691e-05,0.0
2025-08-14,AAPL,Information Technology,-0.005112168105708581,-0.0023412249756729064,-0.0018564906164299734,0.0027709431300356746,0.0032556774892786074,False,0,0,0,0.4293724999260552,-0.0023412249756729064,0.0
2025-08-15,AAPL,Information Technology,-0.0030225322092916063,-0.00021763582620526467,1.7657801724517426e-05,0.0028048963830863416,0.0030401900110161237,False,0,0,0,0.4273632426784613,-0.00021763582620526467,0.0
2025-08-18,AAPL,Information Technology,-0.001429256279357305,-0.005425144902516887,-0.004315394037860299,0.0039958886231595825,0.0028861377585029943,True,0,0,0,0.37133881963204485,-0.005425144902516887,0.0
2025-08-19,AAPL,Information Technology,-0.019734624185850147,-0.0026570585531485724,-0.002894759336200143,0.017077565632701575,0.016839864849650003,True,0,0,0,0.37236853412823384,-0.0026570585531485724,0.0
2025-08-20,AAPL,Information Technology,-0.004911252928377019,-0.004011840141401879,-0.0029829249856099353,0.00089941278697514,0.0019283279427670837,False,0,0,1,0.5190052742352403,-0.004011840141401879,0.0
2025-08-21,AAPL,Information Technology,0.012716733406805902,0.015356803532182273,0.014667743404491196,0.0026400701253763703,0.0019510099976852938,True,1,1,1,0.5190052742352403,0.015356803532182273,0.0
2025-08-22,AAPL,Information Technology,-0.002634317288807808,-0.004401088516101992,-0.004546979200313361,0.0017667712272941838,0.0019126619115055529,False,0,0,0,0.3059681393567933,-0.004401088516101992,0.0
2025-08-25,AAPL,Information Technology,0.00946469850209164,0.004187051216404392,0.004530455587519756,0.005277647285687248,0.004934242914571884,True,1,1,0,0.4473548244103643,0.004187051216404392,0.0
2025-08-26,AAPL,Information Technology,0.005145899965004919,0.002278514804511911,0.002448201421709679,0.002867385160493008,0.0026976985432952396,True,1,1,1,0.7240434560957958,0.002278514804511911,0.0
2025-08-27,AAPL,Information Technology,0.008980857430412437,0.0035413784731703757,0.0032386706396873373,0.005439478957242061,0.0057421867907251,False,1,1,0,0.21035247994248193,0.0035413784731703757,0.0
2025-08-28,AAPL,Information Technology,-0.0018060207961334562,-0.005963682184690233,-0.004444519406639457,0.004157661388556777,0.002638498610506001,True,0,0,0,0.19800634315628746,-0.005963682184690233,0.0
2025-08-29,AAPL,Information Technology,-0.010424709383172748,-0.00741027850099818,-0.005882594510305281,0.003014430882174568,0.0045421148728674665,False,0,0,0,0.49524386774145096,-0.00741027850099818,0.0
2025-09-02,AAPL,Information Technology,0.038089871578786294,0.0054195601815894,0.0049857871819295055,0.032670311397196894,0.03310408439685679,False,1,1,1,0.5584726652539331,0.0054195601815894,0.0
2025-09-03,AAPL,Information Technology,0.005493288226302795,0.008357390788786612,0.008182769788729144,0.0028641025624838168,0.002689481562426349,True,1,1,1,0.6479591537243543,0.008357390788786612,0.0
2025-09-04,AAPL,Information Technology,-0.00037531045761318715,-0.0028962514584031096,-0.002556623802823004,0.0025209410007899224,0.0021813133452098167,True,0,0,0,0.20118681073073552,-0.0028962514584031096,0.0
2025-09-05,AAPL,Information Technology,-0.007551402650500583,0.002456628855379561,0.0025483403420401476,0.010008031505880144,0.01009974299254073,False,0,1,0,0.3111324114165826,0.002456628855379561,0.0
2025-09-08,AAPL,Information Technology,-0.014839412310012845,0.002311848648811843,0.0025979600849693773,0.017151260958824688,0.017437372394982224,False,0,1,0,0.4277118997240916,0.002311848648811843,0.0
2025-09-09,AAPL,Information Technology,-0.03225948363240483,0.00289086266421279,0.0026453467325242707,0.03515034629661762,0.0349048303649291,True,0,1,1,0.6747799229582813,0.00289086266421279,0.0
2025-09-10,AAPL,Information Technology,0.014286344459361722,0.00831022877152554,0.00800949125553474,0.005976115687836181,0.006276853203826982,False,1,1,1,0.7054718072826855,0.00831022877152554,0.0
2025-09-11,AAPL,Information Technology,0.017562991653877313,-0.0003345797943027362,0.00021094190616745566,0.01789757144818005,0.017352049747709857,True,1,0,0,0.22236301851665863,-0.0003345797943027362,0.0
